ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_RawBF,Intensity_IntegratedIntensity_RawBF,Intensity_LowerQuartileIntensity_RawBF,Intensity_MADIntensity_RawBF,Intensity_MassDisplacement_RawBF,Intensity_MaxIntensityEdge_RawBF,Intensity_MaxIntensity_RawBF,Intensity_MeanIntensityEdge_RawBF,Intensity_MeanIntensity_RawBF,Intensity_MedianIntensity_RawBF,Intensity_MinIntensityEdge_RawBF,Intensity_MinIntensity_RawBF,Intensity_StdIntensityEdge_RawBF,Intensity_StdIntensity_RawBF,Intensity_UpperQuartileIntensity_RawBF,Location_CenterMassIntensity_X_RawBF,Location_CenterMassIntensity_Y_RawBF,Location_CenterMassIntensity_Z_RawBF,Location_Center_X,Location_Center_Y,Location_MaxIntensity_X_RawBF,Location_MaxIntensity_Y_RawBF,Location_MaxIntensity_Z_RawBF,Number_Object_Number,Parent_WormObjects,Worm_Angle_1,Worm_Angle_10,Worm_Angle_11,Worm_Angle_12,Worm_Angle_13,Worm_Angle_14,Worm_Angle_15,Worm_Angle_16,Worm_Angle_17,Worm_Angle_18,Worm_Angle_19,Worm_Angle_2,Worm_Angle_3,Worm_Angle_4,Worm_Angle_5,Worm_Angle_6,Worm_Angle_7,Worm_Angle_8,Worm_Angle_9,Worm_ControlPointX_1,Worm_ControlPointX_10,Worm_ControlPointX_11,Worm_ControlPointX_12,Worm_ControlPointX_13,Worm_ControlPointX_14,Worm_ControlPointX_15,Worm_ControlPointX_16,Worm_ControlPointX_17,Worm_ControlPointX_18,Worm_ControlPointX_19,Worm_ControlPointX_2,Worm_ControlPointX_20,Worm_ControlPointX_21,Worm_ControlPointX_3,Worm_ControlPointX_4,Worm_ControlPointX_5,Worm_ControlPointX_6,Worm_ControlPointX_7,Worm_ControlPointX_8,Worm_ControlPointX_9,Worm_ControlPointY_1,Worm_ControlPointY_10,Worm_ControlPointY_11,Worm_ControlPointY_12,Worm_ControlPointY_13,Worm_ControlPointY_14,Worm_ControlPointY_15,Worm_ControlPointY_16,Worm_ControlPointY_17,Worm_ControlPointY_18,Worm_ControlPointY_19,Worm_ControlPointY_2,Worm_ControlPointY_20,Worm_ControlPointY_21,Worm_ControlPointY_3,Worm_ControlPointY_4,Worm_ControlPointY_5,Worm_ControlPointY_6,Worm_ControlPointY_7,Worm_ControlPointY_8,Worm_ControlPointY_9,Worm_Length
20,1,517,5040,1162,286,1092,214,1127.1605415860736,252.5880077369439,5.254563737944845,0.9951840239760928,25.65667251667837,1,0.10257936507936508,0.19031075649129306,87.0798665184518,99.00505037623081,5.0,2.044084107229471,2.0,9.899494936611665,8.535940753019675,0.7804663069433565,184.76450198781714,0.8103448275862069,4.858960886485875,16.573815607465804,0.0312809944152832,0.0011139102280139923,0.055202626089412614,0.03633173182606697,0.03773556277155876,0.031348134751521775,0.03205767042063018,0.0322270542383194,0.012161440216004848,0.012161440216004848,0.003965667879179101,0.002845956491301489,0.03350881114602089,1127.1250021861024,252.54576698675103,0.0,1127.1605415860736,252.5880077369439,1147.0,274.0,0.0,1,1,-0.25798322038103483,2.9976021664879227e-15,0.0,-2.6423307986078726e-14,4.6851411639181606e-14,-4.085620730620576e-14,1.7430501486614958e-14,0.0,0.0,0.0,-0.2566055194948458,-2.042810365310288e-14,2.3425705819590803e-14,-5.995204332975845e-15,-1.4432899320127035e-14,1.7430501486614958e-14,2.9976021664879227e-15,-2.9976021664879227e-15,0.0,1065.0,1106.6489418885951,1111.5,1116.3510581114049,1121.2021162228098,1126.0531743342149,1130.9042324456195,1135.7552905570246,1140.6063486684295,1145.4574067798344,1150.3084648912393,1067.8404769973556,1155.1595230026442,1160.0,1072.6915351087605,1077.5425932201656,1082.3936513315705,1087.2447094429754,1092.0957675543805,1096.9468256657854,1101.7978837771902,192.0,234.75106942778257,239.5,244.24893057221746,248.99786114443492,253.74679171665235,258.4957222888698,263.2446528610873,267.9935834333047,272.74251400552214,277.49144457773957,196.759624850043,282.240375149957,285.0,201.50855542226043,206.2574859944779,211.00641656669535,215.75534713891275,220.50427771113024,225.25320828334767,230.00213885556514,135.7720241875608
20,2,365,10413,1121,255,1032,138,1059.2082191780821,174.35068493150686,7.931555247981934,0.998995737049749,21.557653718072718,1,0.03505233842312494,0.12607867798114816,112.29312046529698,145.0,2.8284271247461903,1.4758793127537992,1.4142135623730951,5.318363456742325,5.031330018453096,0.6617788493844945,190.73506473629425,0.47464239271781533,3.6898756623268127,8.541771616786718,0.01715877093374729,0.005775539204478264,6.755996901706452,0.03321889042854309,0.03321889042854309,0.02427549777846587,0.02340211401859375,0.024505989626049995,0.01033035758882761,0.01031509879976511,0.006795954545759625,0.006774024448820309,0.029777981340885162,1063.4283340719398,179.6264905020816,0.0,1059.2082191780821,174.35068493150686,1116.0,251.0,0.0,2,1,-0.4519099494568999,4.030109579389318e-14,2.1094237467877974e-15,-2.020605904817785e-14,1.5987211554602254e-14,-1.5987211554602254e-14,0.0,1.5987211554602254e-14,-1.3877787807814457e-14,1.1879386363489175e-14,-0.39639339689031994,-3.0531133177191805e-14,6.217248937900877e-15,1.8096635301390052e-14,2.1094237467877974e-15,-4.241051954068098e-14,4.030109579389318e-14,4.218847493575595e-15,-4.451994328746878e-14,1033.0,1073.4689303150521,1078.375944964887,1083.2829596147212,1088.1899742645555,1093.09698891439,1098.0040035642244,1102.911018214059,1107.8180328638934,1112.7250475137278,1117.6320621635623,1034.2128131163768,1122.5390768133966,1127.0,1039.119827766211,1044.0268424160456,1048.9338570658801,1053.8408717157145,1058.7478863655488,1063.6549010153835,1068.5619156652178,139.0,197.77425421064885,204.3341580056907,210.89406180073252,217.45396559577435,224.0138693908162,230.573773185858,237.13367698089985,243.6935807759417,250.2534845709835,256.8133883660254,145.29502385031415,263.3732921610671,266.0,151.85492764535604,158.41483144039782,164.97473523543968,171.5346390304815,178.09454282552332,184.65444662056518,191.214350415607,163.84276679047395
20,3,1117,17433,1096,237,979,88,1028.4350940017905,146.03939122649956,9.89060439631395,0.9982465581557586,37.71218067772237,1,0.06407388286582917,0.10110605580106732,185.06812616930233,187.42731924668826,5.0,2.187911596081465,2.0,13.230340646881123,10.954734280074808,0.6113838461011911,372.6000717874997,0.5928874734607219,4.981658692937344,16.69250031048432,0.01190203707665205,0.001960784662514925,10.699963918477401,0.03494315966963768,0.03494315966963768,0.01612187279267749,0.014944046831230367,0.013870450668036938,0.00746166193857789,0.007400625851005316,0.006952499907274183,0.005265266581384801,0.015819791704416275,1034.71911325319,154.69966431138312,0.0,1028.4350940017905,146.03939122649956,1089.0,228.0,0.0,3,1,0.3377597522585072,-2.886579864025407e-15,1.3322676295501878e-15,-1.554312234475219e-14,1.5765166949677223e-14,-2.220446049250313e-16,0.0,2.220446049250313e-16,-2.220446049250313e-16,-1.709743457922741e-14,-0.3242296117041751,0.12849704659482353,-0.06565915927633781,0.06565915927633781,0.24122455334514836,-0.13453413028033046,-0.11026006532994848,1.3322676295501878e-15,1.5543122344752192e-15,980.0,1042.9200174217215,1049.99412565823,1057.068233894739,1064.1423421312475,1071.2164503677561,1078.2905586042652,1085.3646668407737,1092.4387750772821,1099.5128833137912,1106.5869915502997,989.6180801178025,1113.6610997868083,1121.0,997.7716941415378,1004.5110946029,1011.9576018454487,1018.697002306811,1023.0,1028.771800948704,1035.845909185213,89.0,165.06725646838612,174.17328941112578,183.27932235386626,192.3853552966059,201.49138823934553,210.59742118208604,219.70345412482567,228.8094870675653,237.9155200103058,247.02155295304544,93.61808011780255,256.12758589578505,261.0,101.77169414153784,110.51109460290004,118.95760184544879,127.697002306811,137.4455938381539,146.855190582906,155.9612235256465,230.61903069443818
20,4,800,8288,1195,302,1083,228,1141.1425,275.765,8.029773129603342,0.9949694019190789,31.915382432114615,1,0.09652509652509653,0.12453651975711529,149.4772064844623,130.6981254647518,5.0990195135927845,2.1102809856919658,2.0,17.790163154380796,14.974519745268394,0.978756299902167,284.1198410471445,0.4489337822671156,4.756023517809808,13.69216457568109,0.013122758828103542,0.00311284139752388,1.1339351164321174,0.03640802577137947,0.03640802577137947,0.01925515594254983,0.017115205719601363,0.01570153422653675,0.007873655296862125,0.007553216069936752,0.00657039264056863,0.005582693722041328,0.020004577934741974,1142.2732805412888,275.84952346254306,0.0,1141.1425,275.765,1122.0,257.0,0.0,4,1,-0.6395706550880729,0.0,-2.0095036745715333e-14,2.653433028854124e-14,-3.297362383136715e-14,-0.1987598368491107,-0.08635525051942577,-0.12152958337732767,0.06048056444550154,-0.31577753490512345,0.0,-2.0095036745715333e-14,2.3314683517128287e-14,-6.439293542825908e-15,3.219646771412954e-15,3.219646771412954e-15,-2.3314683517128287e-14,2.0095036745715333e-14,0.0,1084.0,1129.1088814665886,1134.5910976447371,1140.0733138228857,1145.5555300010344,1151.037746179183,1156.5199623573317,1162.3917923086447,1168.363052554845,1174.6350753851868,1180.756716923458,1085.2511520414,1186.878358461729,1193.0,1090.7333682195485,1096.2155843976973,1101.6978005758458,1107.1800167539943,1112.6622329321428,1118.1444491102914,1123.62666528844,229.0,267.7082193246145,271.9800760868082,276.2519328490019,280.5237896111956,284.79564637338933,289.06750313558297,292.0,294.3630525548449,296.0,298.0,233.53336522706493,298.0,298.0,237.80522198925863,242.07707875145232,246.34893551364604,250.6207922758397,254.8926490380334,259.1645058002271,263.4363625624208,139.00137326034442
20,5,2114,20022,1306,424,1212,211,1251.09697256386,322.86234626300853,9.870727875122595,0.997873294363843,51.88090590544978,1,0.10558385775646789,0.101309651390585,246.5975861855795,229.78685776170926,5.385164807134504,2.692761895315008,2.8284271247461903,21.21913130439421,16.074093235544826,0.356382723923152,512.0731598529185,0.5478103135527339,7.438727448694408,33.83144910028204,0.012428473681211472,0.00309758260846138,6.49853518047947,0.032379645854234695,0.037460897117853165,0.016906198747032745,0.01600352369928195,0.015152208507061005,0.007492179982364178,0.006912337150424719,0.0058033370538923944,0.004775125505297462,0.01890592835843563,1248.736465489509,316.8076814627187,0.0,1251.09697256386,322.86234626300853,1252.0,342.0,0.0,5,3,0.04855065349555243,-0.021292338562363566,0.06466715511027665,-0.13010721815182458,-0.021254570463141498,-1.9984014443252818e-15,-0.0641100927432432,0.02098259398442437,-0.06407193245295062,-1.6209256159527285e-14,-0.9755460398197374,0.1608867367809632,-0.09126842360344645,-0.04618445240791336,0.08938953154149054,0.0,0.0,-0.09114162980329565,0.0160718681887575,1213.0,1245.0,1248.8247476050167,1252.8816126727352,1256.2313709592672,1261.0,1266.0,1271.0,1276.7014719172605,1282.172550547352,1288.3507359586301,1217.7639718489052,1294.5289213699084,1304.0,1222.0,1224.463488421969,1228.0190911046382,1232.0,1235.0,1238.0,1241.0,212.0,313.6717363361834,324.8247476050167,335.88161267273523,347.2313709592672,357.9934137361546,368.6596195237743,379.325825311394,389.7014719172605,400.1725505473521,410.35073595863025,222.7639718489051,420.5289213699084,421.0,233.74662513761257,245.46348842196912,257.01909110463805,268.10741824909275,279.6020511614587,291.09668407382463,302.5913169861906,254.74547198970436
20,6,914,5589,1380,496,1299,427,1338.2603938730854,461.64551422319477,4.366559243975606,0.9945864019628823,34.11364747264559,1,0.16353551619252102,0.22901326745530046,107.84630747409786,103.71113729971339,5.656854249492381,2.6742704025061417,2.8284271247461903,11.330992026936656,11.206621652751517,0.904834322140118,223.94826817189067,0.8696479543292103,3.152849637903273,14.972350764088333,0.012893873266875744,0.0025940341874957085,5.095994930315115,0.04130617156624794,0.04130617156624794,0.018224564380943775,0.01638112775064369,0.01506065484136343,0.008178835734724998,0.006958113983273506,0.006993520372092923,0.005265096254567678,0.018562600016593933,1342.2485382350264,464.81787436638706,0.0,1338.2603938730854,461.64551422319477,1373.0,486.0,0.0,6,3,0.0,0.08486730312757573,-0.19145535275176495,0.2024335488998441,-0.10738433383015822,-0.0950492150696976,0.28828300805883794,-2.9976021664879227e-14,0.1387943745376946,-0.4270773825965009,0.28828300805881385,-0.2775887490753457,0.13879437453768784,-0.13879437453768784,0.0,0.13879437453765786,-0.13879437453764898,0.0,-0.042900583896958056,1300.0,1334.127817459305,1338.2928932188133,1342.286396103068,1346.6585786437627,1350.6292893218815,1354.8171572875253,1359.1893398282202,1362.975735931288,1366.762132034356,1369.8414213562373,1303.0792893218813,1374.213603896932,1378.0,1306.1585786437627,1310.237867965644,1314.0242640687118,1318.103553390593,1322.1828427124744,1325.9692388155424,1330.0485281374238,428.0,459.1278174593052,462.0,465.2863961030679,467.65857864376267,471.0,473.81715728752533,476.18933982822017,479.97573593128806,483.76213203435594,487.84142135623733,432.07928932188133,490.21360389693206,494.0,436.15857864376267,439.237867965644,443.0242640687119,446.1035533905932,449.18284271247455,452.96923881554244,456.04852813742383,107.09545442950488
20,7,1672,17595,320,715,205,562,264.2458133971292,639.4144736842105,7.528230966822457,0.9982841512636002,46.13953314455178,1,0.09502699630576869,0.13283333154987986,196.85277496534235,188.80677953929515,5.656854249492381,2.6908744859819524,2.8284271247461903,12.591028321857364,11.526824020123982,-0.6529421069185146,397.7127701597078,0.81047018904508,5.287312162574381,25.593789759092033,0.011596856638789177,0.00318913534283638,8.429561852707108,0.03637750819325447,0.03637750819325447,0.017055845685723808,0.015307290525772748,0.014328221790492535,0.00759899290278554,0.0072938124649226665,0.006693583745934655,0.004936118623505415,0.018188754096627235,259.12512637258993,646.1104484023027,0.0,264.2458133971292,639.4144736842105,229.0,680.0,0.0,7,4,0.0,-0.07764032695554857,2.6645352591003757e-15,-0.08071702901299016,0.15835735596853473,-0.24123530001466165,0.1635949730591144,0.15150188196827585,-0.07386155501272862,0.0,0.07386155501272862,0.11710791690828737,-0.004916490965273024,0.009824268482107268,0.11371818862917538,0.016771329167960758,0.004804153953454016,-1.3322676295501878e-15,1.3322676295501878e-15,318.0,270.5855339059326,264.328427124746,258.77842712474603,253.22842712474596,248.3855339059325,242.128427124746,237.9926406871191,232.44264068711914,225.47842712474608,219.22132034355957,314.0,212.96421356237306,206.0,310.0,305.0,300.0426406871193,295.0,288.9426406871192,283.09974746830574,276.8426406871191,563.0,631.4144660940674,638.671572875254,646.221572875254,653.771572875254,661.6144660940676,668.8715728752541,677.0073593128809,684.5573593128809,691.5215728752539,698.7786796564404,571.1920310216783,706.0357864376269,713.0,579.3840620433566,587.1618795026618,594.9573593128807,602.7175144212723,610.0573593128809,616.9002525316943,624.1573593128809,196.9777054234139
20,8,1372,3366,340,561,318,408,329.6479591836735,484.597667638484,6.399525052844266,0.9935770092768677,41.795749250092925,1,0.40760546642899587,0.15626159625010771,159.62447661547037,152.16109883935513,6.0,2.724458542993283,2.8284271247461903,19.356714756774707,18.062782061915186,-0.01054461955355169,332.16652224137044,0.6222222222222222,3.6290684728883207,15.718776380643249,0.010055695660412312,0.0013733124360442162,0.9151802944181894,0.019653620198369026,0.019943540915846825,0.011937725239764213,0.011456834096678753,0.011627375148236752,0.00633249431848526,0.0061951628886163235,0.0022694952167147875,0.0022074165465125993,0.01283283717930317,329.7497131426413,483.68816167196934,0.0,329.6479591836735,484.597667638484,336.0,475.0,0.0,8,4,-0.5310064735544515,-0.1280089275425027,0.1280089275425027,0.14309071129903583,-0.01508178375653313,0.13749430923472317,-0.0005863636002609862,0.0011728151539991405,-0.0005864515537381543,0.005899712023369474,0.1305814901784501,0.12241252547818982,0.01508178375653424,-0.11516389989695242,0.1367945458349844,-0.06507765947626987,0.1400234612527569,-0.0680383563849456,0.09947083621292818,326.0,333.0,333.0,334.0,334.0,333.0,332.0,330.0,328.0041630560342,326.0,324.0,324.0,321.95814754519506,319.0,326.0,327.0,328.0,329.8409902576698,330.67781745930523,332.0,332.23431457505075,409.0,476.4378679656441,484.6213203435597,492.3905591591022,500.57401153701784,507.5148232278142,515.2840620433567,522.6390872965261,529.9958369439659,537.3491378028649,544.7041630560343,416.3550252531694,552.0418524548049,559.0,423.7100505063388,430.65086219713515,438.4201010126777,445.8409902576698,453.6778174593052,461.31360389693214,468.76568542494925,163.66904755831223
20,9,1594,15450,1449,767,1346,617,1398.2879548306148,691.9366373902133,7.263201561934269,0.9981849280725188,45.050458758017655,1,0.1031715210355987,0.13768033166543284,186.81179493535103,179.44637081869334,5.656854249492381,2.6913892729595954,2.8284271247461903,11.549455197772724,11.250428207663191,-0.5996775955779522,381.4284989122459,0.8821250691754289,6.935790068469942,35.10650819260627,0.01380941504612565,0.005691615864634514,14.597430644003206,0.048233769834041595,0.048233769834041595,0.023042491921827047,0.02202415821368022,0.018219271674752235,0.009170671924948692,0.008667124435305595,0.010768135424528109,0.010127813745707002,0.030449378304183483,1390.0786381015755,704.0069356569836,0.0,1398.2879548306148,691.9366373902133,1379.0,714.0,0.0,9,5,0.12164167159553552,2.886579864025407e-14,0.08468707476071202,7.549516567451064e-15,-3.552713678800501e-14,2.7977620220553945e-14,-1.2878587085651816e-14,0.052195431983844465,-0.02211686982538774,-0.0011650721964699962,-0.058230944308635735,-0.04556341843523004,-0.00980620197881299,0.08468707476071202,-0.08468707476071202,0.061395688006995464,-0.03754470971878199,0.060836096472506096,-0.08468707476074844,1447.0,1404.0152543263814,1399.4748737341529,1394.9344931419241,1389.6870057685087,1384.4395183950933,1379.192031021678,1373.9445436482627,1368.6970562748475,1363.0,1357.4949747468304,1443.0,1352.0,1347.0,1438.0,1433.3788582233137,1428.838477631085,1423.5909902576695,1419.0506096654408,1414.0,1409.2627416997968,618.0,684.9847456736184,692.5251262658472,700.065506858076,707.3129942314913,714.5604816049065,721.8079689783219,729.0554563517372,736.3029437251524,743.3642135623733,750.5050252531695,625.7642135623731,757.6500000000001,765.0,633.1142135623732,640.6211417766863,648.161522368915,655.4090097423303,662.9493903345591,670.2784271247463,677.7372583002032,188.42135623730977
20,10,1688,18088,1568,616,1449,464,1503.406990521327,537.013625592417,7.67973800300443,0.9978564340502816,46.35977083110911,1,0.09332153914197258,0.13021277543697257,198.95537788693136,190.41270965983338,5.656854249492381,2.689393287127791,2.8284271247461903,14.310481541728606,13.019857951750243,-0.6551813613513887,403.61226509631945,0.7858472998137802,4.7658808580599725,26.34549493761733,0.011932555586099625,0.0032501714304089546,2.1692331876711797,0.03347829356789589,0.03694209083914757,0.01532437574938898,0.0156075206976406,0.014694438315927982,0.0064850845374166965,0.0064850845374166965,0.00480797434157736,0.004907637805689845,0.01878385618329048,1504.3012472429627,535.0372962832422,0.0,1503.406990521327,537.013625592417,1518.0,513.0,0.0,10,5,-0.231883158928178,-0.07726959179606574,4.574118861455645e-14,-0.0194329324342557,-0.12301819840063066,0.06212495907140925,5.595524044110789e-14,0.08032617176338253,0.0,-0.0803261717634034,-1.4210854715202004e-14,0.02598853318611516,-0.012938469476316605,-2.1760371282653068e-14,0.0,0.0,0.0,2.5757174171303632e-14,-7.993605777301127e-15,1566.0,1507.8591751588967,1501.5707311899982,1495.9893940022866,1490.4080568145746,1485.0,1480.6595960015243,1475.7853655949993,1470.9111351884737,1465.3297980007621,1459.7484608130505,1558.1667269100835,1454.8742304065252,1450.0,1552.0,1545.5898389722868,1539.3013950033883,1533.01295103449,1526.7245070655918,1520.4360630966935,1514.1476191277952,465.0,529.1408248411033,536.4292688100016,544.0106059977135,551.5919431854252,559.2450554537835,567.3404039984757,575.2146344050009,583.0888648115262,590.6702019992379,598.2515391869496,470.83327308991653,606.1257695934748,614.0,478.1721339153481,485.4101610277132,492.6986049966115,499.98704896550987,507.27549293440825,514.5639369033066,521.852380872205,197.86405494078647
